Item,Functional Area,req,ADHA Priority,Notes to Vendor,rating,resp,match
2,Educational Content,Ability to import and launch non-SCORM compliant content,M,"This content might include, for example, recorded Webinar/Webcast sessions, other types of video content, and documents (PDF, PPT, Word, etc.).",S,"Any file can be uploaded to CourseStage and accessed by learners as part of a course. CourseStage allows administrators and course developers to author and upload external content including:

• PPT, Word docs, Excel spreadsheets, PDFs, image files, etc.
• Multimedia assets (audio files as mp3, video files as mp4, files served from outside CourseStage LMS into a course frame, etc)
• Recorded webinars

",1.0
3,Educational Content,Ability to configure one or more types of digital content into a course experience,M,"This might include, for example, combining multiple SCORM modules, some non-SCORM video, supporting documents, and an assessment.",S,Any number and variety of CourseStage activities and resources (including multiple SCORM packages) can be configured into a single course experience.,1.0
4,Educational Content,Ability to manage registration and access for live Webinar,M,"ADHA currently uses Zoom. It should be possible to present registration for a Webinar in the catalog and then, once registration is complete, provide an access link for the Webinar through the platform interface. (See additional items related to Webinars in the Technical Topics and Integration section at the end.)",S,"We have experience with client preferred third-party webinar systems including GoToMeeting, WebEx, Adobe Connect and custom webinar solutions. The functionality provides:
• SSO
• Role assignment (e.g., give a user Presenter role in CourseStage and they will be Presenter in the GoToMeeting session)
• Single entry: administrator can create a GoToMeeting session from within CourseStage, including setting the start and end time, public/private status, etc. - so you don't have to separately log into GoToMeeting to create the meeting, then enter a meeting ID into CourseStage.
• CourseStage groups functionality: the GoToMeeting session can be only accessible to users who belong to a designated group within the CourseStage course (helpful if you are running a university-style course where users move through a single course in multiple sessions)",1.0
7,Educational Content,"Ability to create/configure extended, facilitated online courses (e.g., a course an instructor leads over a period weeks using discussion, readings, assignments, etc.)",M,"For example, it should be possible to configure a series of Webinars in combination with assessments, a discussion board, and an evaluation. Briefly describe the approaches and tools available to an instructor for leading a facilitated course experience.",S,,0.9415384615384615
8,Educational Content,Ability to set enrollment durations for courses,M,"Please specify how enrollment durations can be handled in your system (e.g., based on a duration tied to enrollment date, based on a set calendar date, or some combination. Please also indicate how an enrollment duration, once set, can be overridden, if necessary. ",S,Course duration can be configured to a set number of days that is either relative to the course purchase date or first access. Any enrollment duration can be overridden by manually enrolling the user in the course (users can be enrolled by mutliple methods in one course). ,1.0
9,Educational Content,Ability to configure and enforce a certification or learning path involving multiple courses/activities. ,M,"This should include, for example, the ability to block access to a course if a prerequisite course has not been completed.",S,,0.8210526315789474
11,Educational Content,Ability to assign documents from a central document repository to multiple courses,M,Updating a document in the central repository should result in the document being update in any course to which it is assigned. ,S,"The file manager acts as a repository for all course files uploaded to CourseStage Health. Files placed in the repository can be added to courses as ""aliases,"" so that if they are updated in the original location they are also updated in all courses to which they are assigned. ",0.6255924170616114
12,Educational Content,Ability to offer closed discussion forums that can only be accessed based upon permission being granted by ADHA or as part of being enrolled in a specific class,M,"It should be possible to associate a discussion with any type of course configured in the system, whether online or off.",S,"CourseStage discussion forums are full-featured, giving you the flexibility to customize the experience in many ways, including giving you a rich-text editor, file upload capability, the ability to set email notification preferences, require administrative reviews of posts, and allow leaners to rate each other’s posts. Discussion Forums can be configured within any course or at the site level, and forum permissions can be configured on a system-wide or course-wide basis.",0.9844236760124611
17,Educational Content,"Ability to associate multiple assessments with a course (e.g., pre-test, post-test) and tie progress and completion to satisfactory scores",M,This applies to both on-demand and facilitated online courses as well as live online and offline events. Please indicate if associating assessments with any of these formats is not supported. ,S,,0.751131221719457
18,Educational Content,Ability to block access to course content until a pre-test is successfully completed,M,,S,Requirements for issuance of credit are set at the course level and disbursed automatically upon successful completion according to those requirements. ,0.4971751412429379
19,Educational Content,Ability to associate an evaluation (survey) with a course and require completion of the evaluation for completion or credit in the course,M,This applies to both on-demand and facilitated online courses as well as live online and offline events. Please indicate if associating an evaluation with any of these formats is not supported. (Note: ADHA assumes it would also be possible to not require completion of an evaluation in order to receive credit. Please indicate if this is not the case.),S,,1.0
21,CE and Certification,Ability for system to automatically issue credit upon successful completion of a course,M,,S,Requirements for issuance of credit are set at the course level and disbursed automatically upon successful completion according to those requirements. ,0.9555555555555556
